numerical_review,comments,language,sentiment,review_length,label
3.0,I didn't notice that this hotel room has shared bathroom. It was very inconvenient for me.,en,-0.78,90,1
1.0,"The old Aztec Hotel on foothill blvd, ( route 66) was a gem, back in its day. Unfortunately for the past ten years while the hotel was under poor management it was never maintained. The entire establishment is dirty and run down. The rooms are very small, which was typical for hotels during that era. Some staff are friendly, others were not willing to help when needed. Bar is a local hangout with a pretty good Band. The property needs a complete overhaul.",en,-0.05866013071895424,459,1
1.0,"I understand these cabins are 75 years old so I didn't expect to walk into a 5 star facility but I did expect it to be clean, even somewhat clean would have been nice. The shower had not been cleaned AT ALL, the commode was not flushed, one bed had hair in it, the other bed had dirt in it,... More",en,0.3013888888888889,298,1
1.0,"Two positives: the front desk staff and the lobby. ALL downhill from there. Reservations did not confirm booking with Hotels.com so I had to wait at the front desk for 45 minutes while they sorted that out--the staff who helped me were very apologetic and helpful, however. The room and the annex in general is one of the worst places I've ever stayed. From the stench of the hallway to the dilapidated condition of the room, the free WiFi with no connection, and the balcony with its rickety railing and beautiful view of the parking garage and liquor store next door, permeated by the sounds of drunken kids in the hallways all night long and the cacophony of constant EMS and police sirens that never seemed to stop. If you're over 30, you DO NOT want to stay here. EVER. I will never stay here again--for the same money you can stay at the EconoLodge next door--certainly no better, but how could it be worse",en,-0.016666666666666666,912,1
2.0,We chose this facility based on location and website and offerings. I was VERY disappointed and would not recommend. The suite was unclean with items in disrepair. Ordered a chilled champagne and flutes and had a warm bottle of champagne and dirty flutes upon arrival.,en,-0.325,268,1
1.0,"There is nothing I can say about this place. Stuck here for a convention. Poor service, Poor food quality. Bathrooms are at least 15-20 years old. Water issues. Maid service not even close to daily. Entire property is dirty. I would not stay here again if it were free",en,-0.15000000000000002,268,1
2.0,"I'll start this review by saying that Honua Kai is not a Hotel or a Resort. It's amazing that they charge a 25.00 resort fee, because this place is merely a Condominium Complex. I've read the numerous other reviews on this place, and most of them are spot on. The rooms are nice, because they are new, but everything else... More",en,0.15681818181818186,329,1
4.15,Bad: Dirty windows in the room dirty carpet in hallway and dirty door for service entrance 3 rd floor. Good: The gentleman at reception and the valets,en,-0.36,150,1
1.0,The manager uses foul language referring to poorly trained staff. Staff does not know how to issue credits after they fail to honor the rate quoted. The rooms are poorly cleaned with light bulbs burned out and never replaced. Staff consists of young children that cannot make decisions nor are mature enough to deal with challenges.,en,-0.1,332,1
1.0,Woke up with crazy bug bites.,en,-0.6,29,1
2.0,"Even though its non smoking rooms, first room had an odor. They changed rooms..odor was not as bad. Bed was not comfortable.",en,-0.21666666666666665,124,1
1.0,"The room was not tidy, the customer service was horrible!!!! We could not stay the second night. Had to leave because the hotel service and cleanliness, and no hot water!!!!!!!!!!!",en,-0.45,180,1
2.0,"The building looks beautiful the lobby too. They upgraded me to a room with 2 bedrooms, 3 tvs and 2 baths! I was ecstatic at first. But more things wrong than I've ever encountered in 1 hotel room: 1. The a/c, even when set to 65, was warmish, and only blowed in the entryway, not in the bed area.2. The light next to the bed was linked to the entry light: if you wanted the bed light to work, you had to have that hall light on. If you turned that off, the bed light went off too.3. No ironing board!4. Nothing to put the soap on, just the bathroom counter. That's icky.5. The bedspread was cool looking, but not something I'd like to sit on or sleep under. But if I peeled that away there was just the sheet. 6. That entryway was dark, even with its one light turned on.7. The counter with the coffee machine was dark too, even with the light turned on.8. Get rid of coffee dispensed in those plastic cup thingies - so bad for the environment!I lost count after that, but you get the idea. All these things could be tweaked and it would be a good place.",en,0.22777777777777775,1055,1
1.0,"Here on business and there are limited choices, so I decided to try this because of the ratings. I arrived and checked in and my door was unlocked. Fingerprints, stains and hairs. This is surface cleaning, so the thought of what hasn't been deep cleaned in a while is scary.",en,-0.19047619047619047,274,1
2.0,"Comfortable bed for the night. My first impression was quite good for the price. Then I opened the closet door and discovered the garbage from a previous guest (ancient pizza in box, used plates, used napkins) stacked inside. Looked like it had been there a long, long time. It's amazing how fast your impression of a place can change. Wish the person at the desk had been a little more concerned about it when I told her. I did not leave with a great impression of the place.",en,0.2723484848484849,476,1
